source_id,series_id,event_time,available_at,observed_value,piecewise_partition_value,residual_lag_1,regime_flag
fixture-source,piecewise-composition-series,2026-03-01T00:00:00Z,2026-03-01T06:00:00Z,42.000000,0.5,42.000000,head
fixture-source,piecewise-composition-series,2026-03-02T00:00:00Z,2026-03-02T06:00:00Z,45.200000,0.5,3.200000,head
fixture-source,piecewise-composition-series,2026-03-03T00:00:00Z,2026-03-03T06:00:00Z,47.120000,0.5,1.920000,head
fixture-source,piecewise-composition-series,2026-03-04T00:00:00Z,2026-03-04T06:00:00Z,48.272000,0.5,1.152000,head
fixture-source,piecewise-composition-series,2026-03-05T00:00:00Z,2026-03-05T06:00:00Z,48.963200,0.5,0.691200,head
fixture-source,piecewise-composition-series,2026-03-06T00:00:00Z,2026-03-06T06:00:00Z,49.377920,0.5,0.414720,head
fixture-source,piecewise-composition-series,2026-03-07T00:00:00Z,2026-03-07T06:00:00Z,49.626752,0.5,0.248832,head
fixture-source,piecewise-composition-series,2026-03-08T00:00:00Z,2026-03-08T06:00:00Z,49.776051,0.5,0.149299,head
fixture-source,piecewise-composition-series,2026-03-09T00:00:00Z,2026-03-09T06:00:00Z,49.865631,0.5,0.089580,head
fixture-source,piecewise-composition-series,2026-03-10T00:00:00Z,2026-03-10T06:00:00Z,49.919378,0.5,0.053748,head
fixture-source,piecewise-composition-series,2026-03-11T00:00:00Z,2026-03-11T06:00:00Z,49.951627,2.0,0.032249,tail
fixture-source,piecewise-composition-series,2026-03-12T00:00:00Z,2026-03-12T06:00:00Z,59.946790,2.0,9.995163,tail
fixture-source,piecewise-composition-series,2026-03-13T00:00:00Z,2026-03-13T06:00:00Z,70.941469,2.0,10.994679,tail
fixture-source,piecewise-composition-series,2026-03-14T00:00:00Z,2026-03-14T06:00:00Z,83.035616,2.0,12.094147,tail
fixture-source,piecewise-composition-series,2026-03-15T00:00:00Z,2026-03-15T06:00:00Z,96.339177,2.0,13.303562,tail
fixture-source,piecewise-composition-series,2026-03-16T00:00:00Z,2026-03-16T06:00:00Z,110.973095,2.0,14.633918,tail
fixture-source,piecewise-composition-series,2026-03-17T00:00:00Z,2026-03-17T06:00:00Z,127.070404,2.0,16.097309,tail
fixture-source,piecewise-composition-series,2026-03-18T00:00:00Z,2026-03-18T06:00:00Z,144.777445,2.0,17.707040,tail
fixture-source,piecewise-composition-series,2026-03-19T00:00:00Z,2026-03-19T06:00:00Z,164.255189,2.0,19.477744,tail
fixture-source,piecewise-composition-series,2026-03-20T00:00:00Z,2026-03-20T06:00:00Z,185.680708,2.0,21.425519,tail
