source_id,series_id,event_time,available_at,observed_value,piecewise_partition_value,residual_lag_1,regime_flag
fixture-source,probabilistic-calibrated-series,2026-02-01T00:00:00Z,2026-02-01T06:00:00Z,40.000000,0.0,0.000000,stable
fixture-source,probabilistic-calibrated-series,2026-02-02T00:00:00Z,2026-02-02T06:00:00Z,41.200000,0.1,-1.300000,volatile
fixture-source,probabilistic-calibrated-series,2026-02-03T00:00:00Z,2026-02-03T06:00:00Z,42.900000,0.2,-0.800000,stable
fixture-source,probabilistic-calibrated-series,2026-02-04T00:00:00Z,2026-02-04T06:00:00Z,45.100000,0.3,-0.300000,volatile
fixture-source,probabilistic-calibrated-series,2026-02-05T00:00:00Z,2026-02-05T06:00:00Z,47.800000,0.4,0.200000,stable
fixture-source,probabilistic-calibrated-series,2026-02-06T00:00:00Z,2026-02-06T06:00:00Z,51.000000,0.5,0.700000,volatile
fixture-source,probabilistic-calibrated-series,2026-02-07T00:00:00Z,2026-02-07T06:00:00Z,52.000000,0.6,1.200000,stable
fixture-source,probabilistic-calibrated-series,2026-02-08T00:00:00Z,2026-02-08T06:00:00Z,53.500000,0.0,-1.000000,volatile
fixture-source,probabilistic-calibrated-series,2026-02-09T00:00:00Z,2026-02-09T06:00:00Z,55.500000,0.1,-0.500000,stable
fixture-source,probabilistic-calibrated-series,2026-02-10T00:00:00Z,2026-02-10T06:00:00Z,58.000000,0.2,0.000000,volatile
fixture-source,probabilistic-calibrated-series,2026-02-11T00:00:00Z,2026-02-11T06:00:00Z,61.000000,0.3,0.500000,stable
fixture-source,probabilistic-calibrated-series,2026-02-12T00:00:00Z,2026-02-12T06:00:00Z,61.800000,0.4,1.000000,volatile
fixture-source,probabilistic-calibrated-series,2026-02-13T00:00:00Z,2026-02-13T06:00:00Z,63.100000,0.5,-1.200000,stable
fixture-source,probabilistic-calibrated-series,2026-02-14T00:00:00Z,2026-02-14T06:00:00Z,64.900000,0.6,-0.700000,volatile
fixture-source,probabilistic-calibrated-series,2026-02-15T00:00:00Z,2026-02-15T06:00:00Z,67.200000,0.0,-0.200000,stable
fixture-source,probabilistic-calibrated-series,2026-02-16T00:00:00Z,2026-02-16T06:00:00Z,70.000000,0.1,0.300000,volatile
fixture-source,probabilistic-calibrated-series,2026-02-17T00:00:00Z,2026-02-17T06:00:00Z,73.300000,0.2,0.800000,stable
fixture-source,probabilistic-calibrated-series,2026-02-18T00:00:00Z,2026-02-18T06:00:00Z,74.400000,0.3,1.300000,volatile
fixture-source,probabilistic-calibrated-series,2026-02-19T00:00:00Z,2026-02-19T06:00:00Z,76.000000,0.4,-0.900000,stable
fixture-source,probabilistic-calibrated-series,2026-02-20T00:00:00Z,2026-02-20T06:00:00Z,78.100000,0.5,-0.400000,volatile
fixture-source,probabilistic-calibrated-series,2026-02-21T00:00:00Z,2026-02-21T06:00:00Z,80.700000,0.6,0.100000,stable
fixture-source,probabilistic-calibrated-series,2026-02-22T00:00:00Z,2026-02-22T06:00:00Z,83.800000,0.0,0.600000,volatile
