source_id,series_id,event_time,available_at,observed_value,revision_id
fixture-source,certification-trend,2026-01-01T00:00:00Z,2026-01-01T06:00:00Z,10.0,0
fixture-source,certification-trend,2026-01-02T00:00:00Z,2026-01-02T06:00:00Z,13.0,0
fixture-source,certification-trend,2026-01-03T00:00:00Z,2026-01-03T06:00:00Z,16.0,0
fixture-source,certification-trend,2026-01-04T00:00:00Z,2026-01-04T06:00:00Z,19.0,0
fixture-source,certification-trend,2026-01-05T00:00:00Z,2026-01-05T06:00:00Z,22.0,0
fixture-source,certification-trend,2026-01-06T00:00:00Z,2026-01-06T06:00:00Z,25.0,0
fixture-source,certification-trend,2026-01-07T00:00:00Z,2026-01-07T06:00:00Z,28.0,0
fixture-source,certification-trend,2026-01-08T00:00:00Z,2026-01-08T06:00:00Z,31.0,0
fixture-source,certification-trend,2026-01-09T00:00:00Z,2026-01-09T06:00:00Z,34.0,0
fixture-source,certification-trend,2026-01-10T00:00:00Z,2026-01-10T06:00:00Z,37.0,0
fixture-source,certification-trend,2026-01-11T00:00:00Z,2026-01-11T06:00:00Z,40.0,0
fixture-source,certification-trend,2026-01-12T00:00:00Z,2026-01-12T06:00:00Z,43.0,0
fixture-source,certification-trend,2026-01-13T00:00:00Z,2026-01-13T06:00:00Z,46.0,0
fixture-source,certification-trend,2026-01-14T00:00:00Z,2026-01-14T06:00:00Z,49.0,0
fixture-source,certification-trend,2026-01-15T00:00:00Z,2026-01-15T06:00:00Z,52.0,0
fixture-source,certification-trend,2026-01-16T00:00:00Z,2026-01-16T06:00:00Z,55.0,0
fixture-source,certification-trend,2026-01-17T00:00:00Z,2026-01-17T06:00:00Z,58.0,0
fixture-source,certification-trend,2026-01-18T00:00:00Z,2026-01-18T06:00:00Z,61.0,0
fixture-source,certification-trend,2026-01-19T00:00:00Z,2026-01-19T06:00:00Z,64.0,0
fixture-source,certification-trend,2026-01-20T00:00:00Z,2026-01-20T06:00:00Z,67.0,0
fixture-source,certification-trend,2026-01-21T00:00:00Z,2026-01-21T06:00:00Z,70.0,0
fixture-source,certification-trend,2026-01-22T00:00:00Z,2026-01-22T06:00:00Z,73.0,0
fixture-source,certification-trend,2026-01-23T00:00:00Z,2026-01-23T06:00:00Z,76.0,0
fixture-source,certification-trend,2026-01-24T00:00:00Z,2026-01-24T06:00:00Z,79.0,0
fixture-source,certification-trend,2026-01-25T00:00:00Z,2026-01-25T06:00:00Z,82.0,0
