entity,event_time,availability_time,target
circulating_glucose,2026-04-01T00:00:00Z,2026-04-01T06:00:00Z,10.0
circulating_glucose,2026-04-02T00:00:00Z,2026-04-02T06:00:00Z,10.0
circulating_glucose,2026-04-03T00:00:00Z,2026-04-03T06:00:00Z,10.0
circulating_glucose,2026-04-04T00:00:00Z,2026-04-04T06:00:00Z,10.0
circulating_glucose,2026-04-05T00:00:00Z,2026-04-05T06:00:00Z,10.0
circulating_glucose,2026-04-06T00:00:00Z,2026-04-06T06:00:00Z,10.0
circulating_glucose,2026-04-07T00:00:00Z,2026-04-07T06:00:00Z,10.0
circulating_glucose,2026-04-08T00:00:00Z,2026-04-08T06:00:00Z,10.0
circulating_glucose,2026-04-09T00:00:00Z,2026-04-09T06:00:00Z,10.0
circulating_glucose,2026-04-10T00:00:00Z,2026-04-10T06:00:00Z,10.0
circulating_glucose,2026-04-11T00:00:00Z,2026-04-11T06:00:00Z,10.0
circulating_glucose,2026-04-12T00:00:00Z,2026-04-12T06:00:00Z,10.0
