entity,event_time,availability_time,target
entity-a,2026-01-01T00:00:00Z,2026-01-01T06:00:00Z,10
entity-a,2026-01-02T00:00:00Z,2026-01-02T06:00:00Z,11
entity-a,2026-01-03T00:00:00Z,2026-01-03T06:00:00Z,12
entity-a,2026-01-04T00:00:00Z,2026-01-04T06:00:00Z,13
entity-a,2026-01-05T00:00:00Z,2026-01-05T06:00:00Z,14
entity-a,2026-01-06T00:00:00Z,2026-01-06T06:00:00Z,15
entity-a,2026-01-07T00:00:00Z,2026-01-07T06:00:00Z,16
entity-a,2026-01-08T00:00:00Z,2026-01-08T06:00:00Z,17
entity-a,2026-01-09T00:00:00Z,2026-01-09T06:00:00Z,18
entity-a,2026-01-10T00:00:00Z,2026-01-10T06:00:00Z,19
entity-a,2026-01-11T00:00:00Z,2026-01-11T06:00:00Z,20
entity-a,2026-01-12T00:00:00Z,2026-01-12T06:00:00Z,21
entity-b,2026-01-01T00:00:00Z,2026-01-01T06:00:00Z,20
entity-b,2026-01-02T00:00:00Z,2026-01-02T06:00:00Z,21
entity-b,2026-01-03T00:00:00Z,2026-01-03T06:00:00Z,22
entity-b,2026-01-04T00:00:00Z,2026-01-04T06:00:00Z,23
entity-b,2026-01-05T00:00:00Z,2026-01-05T06:00:00Z,24
entity-b,2026-01-06T00:00:00Z,2026-01-06T06:00:00Z,25
entity-b,2026-01-07T00:00:00Z,2026-01-07T06:00:00Z,26
entity-b,2026-01-08T00:00:00Z,2026-01-08T06:00:00Z,27
entity-b,2026-01-09T00:00:00Z,2026-01-09T06:00:00Z,28
entity-b,2026-01-10T00:00:00Z,2026-01-10T06:00:00Z,29
entity-b,2026-01-11T00:00:00Z,2026-01-11T06:00:00Z,30
entity-b,2026-01-12T00:00:00Z,2026-01-12T06:00:00Z,31
entity-c,2026-01-01T00:00:00Z,2026-01-01T06:00:00Z,30
entity-c,2026-01-02T00:00:00Z,2026-01-02T06:00:00Z,31
entity-c,2026-01-03T00:00:00Z,2026-01-03T06:00:00Z,32
entity-c,2026-01-04T00:00:00Z,2026-01-04T06:00:00Z,33
entity-c,2026-01-05T00:00:00Z,2026-01-05T06:00:00Z,34
entity-c,2026-01-06T00:00:00Z,2026-01-06T06:00:00Z,35
entity-c,2026-01-07T00:00:00Z,2026-01-07T06:00:00Z,36
entity-c,2026-01-08T00:00:00Z,2026-01-08T06:00:00Z,37
entity-c,2026-01-09T00:00:00Z,2026-01-09T06:00:00Z,38
entity-c,2026-01-10T00:00:00Z,2026-01-10T06:00:00Z,39
entity-c,2026-01-11T00:00:00Z,2026-01-11T06:00:00Z,40
entity-c,2026-01-12T00:00:00Z,2026-01-12T06:00:00Z,41
