entity,event_time,availability_time,target
regional_load,2026-02-01T00:00:00Z,2026-02-01T06:00:00Z,40
regional_load,2026-02-02T00:00:00Z,2026-02-02T06:00:00Z,43
regional_load,2026-02-03T00:00:00Z,2026-02-03T06:00:00Z,47
regional_load,2026-02-04T00:00:00Z,2026-02-04T06:00:00Z,44
regional_load,2026-02-05T00:00:00Z,2026-02-05T06:00:00Z,42
regional_load,2026-02-06T00:00:00Z,2026-02-06T06:00:00Z,45
regional_load,2026-02-07T00:00:00Z,2026-02-07T06:00:00Z,49
regional_load,2026-02-08T00:00:00Z,2026-02-08T06:00:00Z,46
regional_load,2026-02-09T00:00:00Z,2026-02-09T06:00:00Z,44
regional_load,2026-02-10T00:00:00Z,2026-02-10T06:00:00Z,47
regional_load,2026-02-11T00:00:00Z,2026-02-11T06:00:00Z,51
regional_load,2026-02-12T00:00:00Z,2026-02-12T06:00:00Z,48
regional_load,2026-02-13T00:00:00Z,2026-02-13T06:00:00Z,46
regional_load,2026-02-14T00:00:00Z,2026-02-14T06:00:00Z,49
regional_load,2026-02-15T00:00:00Z,2026-02-15T06:00:00Z,53
regional_load,2026-02-16T00:00:00Z,2026-02-16T06:00:00Z,50
regional_load,2026-02-17T00:00:00Z,2026-02-17T06:00:00Z,48
regional_load,2026-02-18T00:00:00Z,2026-02-18T06:00:00Z,51
regional_load,2026-02-19T00:00:00Z,2026-02-19T06:00:00Z,55
regional_load,2026-02-20T00:00:00Z,2026-02-20T06:00:00Z,52
regional_load,2026-02-21T00:00:00Z,2026-02-21T06:00:00Z,50
regional_load,2026-02-22T00:00:00Z,2026-02-22T06:00:00Z,53
regional_load,2026-02-23T00:00:00Z,2026-02-23T06:00:00Z,57
regional_load,2026-02-24T00:00:00Z,2026-02-24T06:00:00Z,54
