source_id,series_id,event_time,available_at,observed_value,revision_id
fixture-source,planted-affine-lag,2026-02-01T00:00:00Z,2026-02-01T00:30:00Z,5.000000,0
fixture-source,planted-affine-lag,2026-02-02T00:00:00Z,2026-02-02T00:30:00Z,6.750000,0
fixture-source,planted-affine-lag,2026-02-03T00:00:00Z,2026-02-03T00:30:00Z,8.412500,0
fixture-source,planted-affine-lag,2026-02-04T00:00:00Z,2026-02-04T00:30:00Z,9.991875,0
fixture-source,planted-affine-lag,2026-02-05T00:00:00Z,2026-02-05T00:30:00Z,11.492281,0
fixture-source,planted-affine-lag,2026-02-06T00:00:00Z,2026-02-06T00:30:00Z,12.917667,0
fixture-source,planted-affine-lag,2026-02-07T00:00:00Z,2026-02-07T00:30:00Z,14.271784,0
fixture-source,planted-affine-lag,2026-02-08T00:00:00Z,2026-02-08T00:30:00Z,15.558195,0
fixture-source,planted-affine-lag,2026-02-09T00:00:00Z,2026-02-09T00:30:00Z,16.780285,0
fixture-source,planted-affine-lag,2026-02-10T00:00:00Z,2026-02-10T00:30:00Z,17.941271,0
fixture-source,planted-affine-lag,2026-02-11T00:00:00Z,2026-02-11T00:30:00Z,19.044207,0
fixture-source,planted-affine-lag,2026-02-12T00:00:00Z,2026-02-12T00:30:00Z,20.091997,0
fixture-source,planted-affine-lag,2026-02-13T00:00:00Z,2026-02-13T00:30:00Z,21.087397,0
fixture-source,planted-affine-lag,2026-02-14T00:00:00Z,2026-02-14T00:30:00Z,22.033027,0
fixture-source,planted-affine-lag,2026-02-15T00:00:00Z,2026-02-15T00:30:00Z,22.931376,0
fixture-source,planted-affine-lag,2026-02-16T00:00:00Z,2026-02-16T00:30:00Z,23.784807,0
fixture-source,planted-affine-lag,2026-02-17T00:00:00Z,2026-02-17T00:30:00Z,24.595567,0
fixture-source,planted-affine-lag,2026-02-18T00:00:00Z,2026-02-18T00:30:00Z,25.365789,0
fixture-source,planted-affine-lag,2026-02-19T00:00:00Z,2026-02-19T00:30:00Z,26.097500,0
fixture-source,planted-affine-lag,2026-02-20T00:00:00Z,2026-02-20T00:30:00Z,26.792625,0
fixture-source,planted-affine-lag,2026-02-21T00:00:00Z,2026-02-21T00:30:00Z,27.452994,0
fixture-source,planted-affine-lag,2026-02-22T00:00:00Z,2026-02-22T00:30:00Z,28.080344,0
fixture-source,planted-affine-lag,2026-02-23T00:00:00Z,2026-02-23T00:30:00Z,28.676327,0
fixture-source,planted-affine-lag,2026-02-24T00:00:00Z,2026-02-24T00:30:00Z,29.242511,0
