entity,event_time,availability_time,target
circulating_glucose,2026-01-01T00:00:00Z,2026-01-01T06:00:00Z,10.0
circulating_glucose,2026-01-02T00:00:00Z,2026-01-02T06:00:00Z,12.0
circulating_glucose,2026-01-03T00:00:00Z,2026-01-03T06:00:00Z,14.0
circulating_glucose,2026-01-04T00:00:00Z,2026-01-04T06:00:00Z,16.0
circulating_glucose,2026-01-05T00:00:00Z,2026-01-05T06:00:00Z,18.0
circulating_glucose,2026-01-06T00:00:00Z,2026-01-06T06:00:00Z,20.0
circulating_glucose,2026-01-07T00:00:00Z,2026-01-07T06:00:00Z,22.0
circulating_glucose,2026-01-08T00:00:00Z,2026-01-08T06:00:00Z,24.0
circulating_glucose,2026-01-09T00:00:00Z,2026-01-09T06:00:00Z,26.0
circulating_glucose,2026-01-10T00:00:00Z,2026-01-10T06:00:00Z,28.0
circulating_glucose,2026-01-11T00:00:00Z,2026-01-11T06:00:00Z,30.0
circulating_glucose,2026-01-12T00:00:00Z,2026-01-12T06:00:00Z,32.0
circulating_glucose,2026-01-13T00:00:00Z,2026-01-13T06:00:00Z,34.0
circulating_glucose,2026-01-14T00:00:00Z,2026-01-14T06:00:00Z,36.0
circulating_glucose,2026-01-15T00:00:00Z,2026-01-15T06:00:00Z,38.0
circulating_glucose,2026-01-16T00:00:00Z,2026-01-16T06:00:00Z,40.0
circulating_glucose,2026-01-17T00:00:00Z,2026-01-17T06:00:00Z,42.0
circulating_glucose,2026-01-18T00:00:00Z,2026-01-18T06:00:00Z,44.0
circulating_glucose,2026-01-19T00:00:00Z,2026-01-19T06:00:00Z,46.0
circulating_glucose,2026-01-20T00:00:00Z,2026-01-20T06:00:00Z,48.0
circulating_glucose,2026-01-21T00:00:00Z,2026-01-21T06:00:00Z,50.0
circulating_glucose,2026-01-22T00:00:00Z,2026-01-22T06:00:00Z,52.0
circulating_glucose,2026-01-23T00:00:00Z,2026-01-23T06:00:00Z,54.0
circulating_glucose,2026-01-24T00:00:00Z,2026-01-24T06:00:00Z,56.0
