source_id,series_id,event_time,available_at,observed_value,revision_id
fixture-source,robustness-positive-series,2026-03-01T00:00:00Z,2026-03-01T06:00:00Z,20.0,0
fixture-source,robustness-positive-series,2026-03-02T00:00:00Z,2026-03-02T06:00:00Z,23.0,0
fixture-source,robustness-positive-series,2026-03-03T00:00:00Z,2026-03-03T06:00:00Z,26.0,0
fixture-source,robustness-positive-series,2026-03-04T00:00:00Z,2026-03-04T06:00:00Z,29.0,0
fixture-source,robustness-positive-series,2026-03-05T00:00:00Z,2026-03-05T06:00:00Z,32.0,0
fixture-source,robustness-positive-series,2026-03-06T00:00:00Z,2026-03-06T06:00:00Z,35.0,0
fixture-source,robustness-positive-series,2026-03-07T00:00:00Z,2026-03-07T06:00:00Z,38.0,0
fixture-source,robustness-positive-series,2026-03-08T00:00:00Z,2026-03-08T06:00:00Z,41.0,0
fixture-source,robustness-positive-series,2026-03-09T00:00:00Z,2026-03-09T06:00:00Z,44.0,0
fixture-source,robustness-positive-series,2026-03-10T00:00:00Z,2026-03-10T06:00:00Z,47.0,0
fixture-source,robustness-positive-series,2026-03-11T00:00:00Z,2026-03-11T06:00:00Z,50.0,0
fixture-source,robustness-positive-series,2026-03-12T00:00:00Z,2026-03-12T06:00:00Z,53.0,0
fixture-source,robustness-positive-series,2026-03-13T00:00:00Z,2026-03-13T06:00:00Z,56.0,0
fixture-source,robustness-positive-series,2026-03-14T00:00:00Z,2026-03-14T06:00:00Z,59.0,0
fixture-source,robustness-positive-series,2026-03-15T00:00:00Z,2026-03-15T06:00:00Z,62.0,0
fixture-source,robustness-positive-series,2026-03-16T00:00:00Z,2026-03-16T06:00:00Z,65.0,0
fixture-source,robustness-positive-series,2026-03-17T00:00:00Z,2026-03-17T06:00:00Z,68.0,0
fixture-source,robustness-positive-series,2026-03-18T00:00:00Z,2026-03-18T06:00:00Z,71.0,0
fixture-source,robustness-positive-series,2026-03-19T00:00:00Z,2026-03-19T06:00:00Z,74.0,0
fixture-source,robustness-positive-series,2026-03-20T00:00:00Z,2026-03-20T06:00:00Z,77.0,0
fixture-source,robustness-positive-series,2026-03-21T00:00:00Z,2026-03-21T06:00:00Z,80.0,0
fixture-source,robustness-positive-series,2026-03-22T00:00:00Z,2026-03-22T06:00:00Z,83.0,0
fixture-source,robustness-positive-series,2026-03-23T00:00:00Z,2026-03-23T06:00:00Z,86.0,0
fixture-source,robustness-positive-series,2026-03-24T00:00:00Z,2026-03-24T06:00:00Z,89.0,0
