entity,event_time,availability_time,target
warehouse_sensor,2026-03-01T00:00:00Z,2026-03-01T06:00:00Z,3
warehouse_sensor,2026-03-02T00:00:00Z,2026-03-02T06:00:00Z,3
warehouse_sensor,2026-03-03T00:00:00Z,2026-03-03T06:00:00Z,4
warehouse_sensor,2026-03-04T00:00:00Z,2026-03-04T06:00:00Z,4
warehouse_sensor,2026-03-05T00:00:00Z,2026-03-05T06:00:00Z,5
warehouse_sensor,2026-03-06T00:00:00Z,2026-03-06T06:00:00Z,5
warehouse_sensor,2026-03-07T00:00:00Z,2026-03-07T06:00:00Z,6
warehouse_sensor,2026-03-08T00:00:00Z,2026-03-08T06:00:00Z,6
warehouse_sensor,2026-03-09T00:00:00Z,2026-03-09T06:00:00Z,7
warehouse_sensor,2026-03-10T00:00:00Z,2026-03-10T06:00:00Z,7
warehouse_sensor,2026-03-11T00:00:00Z,2026-03-11T06:00:00Z,8
warehouse_sensor,2026-03-12T00:00:00Z,2026-03-12T06:00:00Z,8
warehouse_sensor,2026-03-13T00:00:00Z,2026-03-13T06:00:00Z,9
warehouse_sensor,2026-03-14T00:00:00Z,2026-03-14T06:00:00Z,9
warehouse_sensor,2026-03-15T00:00:00Z,2026-03-15T06:00:00Z,10
warehouse_sensor,2026-03-16T00:00:00Z,2026-03-16T06:00:00Z,10
warehouse_sensor,2026-03-17T00:00:00Z,2026-03-17T06:00:00Z,11
warehouse_sensor,2026-03-18T00:00:00Z,2026-03-18T06:00:00Z,11
warehouse_sensor,2026-03-19T00:00:00Z,2026-03-19T06:00:00Z,12
warehouse_sensor,2026-03-20T00:00:00Z,2026-03-20T06:00:00Z,12
