source_id,series_id,event_time,available_at,observed_value,revision_id
fixture-source,near_persistence_canary_demo,2026-01-01T00:00:00Z,2026-01-02T00:00:00Z,50.0,0
fixture-source,near_persistence_canary_demo,2026-01-02T00:00:00Z,2026-01-03T00:00:00Z,50.2,0
fixture-source,near_persistence_canary_demo,2026-01-03T00:00:00Z,2026-01-04T00:00:00Z,50.3,0
fixture-source,near_persistence_canary_demo,2026-01-04T00:00:00Z,2026-01-05T00:00:00Z,50.4,0
fixture-source,near_persistence_canary_demo,2026-01-05T00:00:00Z,2026-01-06T00:00:00Z,50.5,0
fixture-source,near_persistence_canary_demo,2026-01-06T00:00:00Z,2026-01-07T00:00:00Z,50.7,0
fixture-source,near_persistence_canary_demo,2026-01-07T00:00:00Z,2026-01-08T00:00:00Z,50.8,0
fixture-source,near_persistence_canary_demo,2026-01-08T00:00:00Z,2026-01-09T00:00:00Z,50.9,0
fixture-source,near_persistence_canary_demo,2026-01-09T00:00:00Z,2026-01-10T00:00:00Z,51.0,0
fixture-source,near_persistence_canary_demo,2026-01-10T00:00:00Z,2026-01-11T00:00:00Z,51.1,0
fixture-source,near_persistence_canary_demo,2026-01-11T00:00:00Z,2026-01-12T00:00:00Z,53.9,0
fixture-source,near_persistence_canary_demo,2026-01-12T00:00:00Z,2026-01-13T00:00:00Z,47.4,0
fixture-source,near_persistence_canary_demo,2026-01-13T00:00:00Z,2026-01-14T00:00:00Z,54.3,0
fixture-source,near_persistence_canary_demo,2026-01-14T00:00:00Z,2026-01-15T00:00:00Z,46.8,0
