source_id,series_id,event_time,available_at,observed_value,revision_id
fixture-source,row_index_leakage_canary_demo,2026-01-01T00:00:00Z,2026-01-04T00:00:00Z,12.0,0
fixture-source,row_index_leakage_canary_demo,2026-01-02T00:00:00Z,2026-01-02T12:00:00Z,4.5,0
fixture-source,row_index_leakage_canary_demo,2026-01-03T00:00:00Z,2026-01-06T00:00:00Z,18.2,0
fixture-source,row_index_leakage_canary_demo,2026-01-04T00:00:00Z,2026-01-04T18:00:00Z,7.1,0
fixture-source,row_index_leakage_canary_demo,2026-01-05T00:00:00Z,2026-01-08T00:00:00Z,21.4,0
fixture-source,row_index_leakage_canary_demo,2026-01-06T00:00:00Z,2026-01-06T06:00:00Z,5.9,0
fixture-source,row_index_leakage_canary_demo,2026-01-07T00:00:00Z,2026-01-10T00:00:00Z,24.7,0
fixture-source,row_index_leakage_canary_demo,2026-01-08T00:00:00Z,2026-01-08T09:00:00Z,6.3,0
fixture-source,row_index_leakage_canary_demo,2026-01-09T00:00:00Z,2026-01-12T00:00:00Z,28.1,0
fixture-source,row_index_leakage_canary_demo,2026-01-10T00:00:00Z,2026-01-10T08:00:00Z,7.0,0
fixture-source,row_index_leakage_canary_demo,2026-01-11T00:00:00Z,2026-01-14T00:00:00Z,30.6,0
fixture-source,row_index_leakage_canary_demo,2026-01-12T00:00:00Z,2026-01-12T07:00:00Z,8.1,0
fixture-source,row_index_leakage_canary_demo,2026-01-13T00:00:00Z,2026-01-16T00:00:00Z,34.2,0
fixture-source,row_index_leakage_canary_demo,2026-01-14T00:00:00Z,2026-01-14T05:00:00Z,8.7,0
