source_id,series_id,event_time,available_at,observed_value,revision_id
fixture-source,sample_wide_closure_canary_demo,2026-01-01T00:00:00Z,2026-01-02T00:00:00Z,3.0,0
fixture-source,sample_wide_closure_canary_demo,2026-01-02T00:00:00Z,2026-01-03T00:00:00Z,5.2,0
fixture-source,sample_wide_closure_canary_demo,2026-01-03T00:00:00Z,2026-01-04T00:00:00Z,8.1,0
fixture-source,sample_wide_closure_canary_demo,2026-01-04T00:00:00Z,2026-01-05T00:00:00Z,12.6,0
fixture-source,sample_wide_closure_canary_demo,2026-01-05T00:00:00Z,2026-01-06T00:00:00Z,18.4,0
fixture-source,sample_wide_closure_canary_demo,2026-01-06T00:00:00Z,2026-01-07T00:00:00Z,25.7,0
fixture-source,sample_wide_closure_canary_demo,2026-01-07T00:00:00Z,2026-01-08T00:00:00Z,34.1,0
fixture-source,sample_wide_closure_canary_demo,2026-01-08T00:00:00Z,2026-01-09T00:00:00Z,43.8,0
fixture-source,sample_wide_closure_canary_demo,2026-01-09T00:00:00Z,2026-01-10T00:00:00Z,55.2,0
fixture-source,sample_wide_closure_canary_demo,2026-01-10T00:00:00Z,2026-01-11T00:00:00Z,68.9,0
fixture-source,sample_wide_closure_canary_demo,2026-01-11T00:00:00Z,2026-01-12T00:00:00Z,63.4,0
fixture-source,sample_wide_closure_canary_demo,2026-01-12T00:00:00Z,2026-01-13T00:00:00Z,81.7,0
fixture-source,sample_wide_closure_canary_demo,2026-01-13T00:00:00Z,2026-01-14T00:00:00Z,70.2,0
fixture-source,sample_wide_closure_canary_demo,2026-01-14T00:00:00Z,2026-01-15T00:00:00Z,95.1,0
