source_id,series_id,event_time,available_at,observed_value,revision_id
fixture-source,additive_composition-exact-series,2026-02-01T00:00:00Z,2026-02-01T00:30:00Z,1.724625,0
fixture-source,additive_composition-exact-series,2026-02-02T00:00:00Z,2026-02-02T00:30:00Z,3.599490,0
fixture-source,additive_composition-exact-series,2026-02-03T00:00:00Z,2026-02-03T00:30:00Z,4.968006,0
fixture-source,additive_composition-exact-series,2026-02-04T00:00:00Z,2026-02-04T00:30:00Z,5.579175,0
fixture-source,additive_composition-exact-series,2026-02-05T00:00:00Z,2026-02-05T00:30:00Z,5.446562,0
fixture-source,additive_composition-exact-series,2026-02-06T00:00:00Z,2026-02-06T00:30:00Z,4.843556,0
fixture-source,additive_composition-exact-series,2026-02-07T00:00:00Z,2026-02-07T00:30:00Z,4.207869,0
fixture-source,additive_composition-exact-series,2026-02-08T00:00:00Z,2026-02-08T00:30:00Z,3.988627,0
fixture-source,additive_composition-exact-series,2026-02-09T00:00:00Z,2026-02-09T00:30:00Z,4.489482,0
fixture-source,additive_composition-exact-series,2026-02-10T00:00:00Z,2026-02-10T00:30:00Z,5.762534,0
fixture-source,additive_composition-exact-series,2026-02-11T00:00:00Z,2026-02-11T00:30:00Z,7.590134,0
fixture-source,additive_composition-exact-series,2026-02-12T00:00:00Z,2026-02-12T00:30:00Z,9.560912,0
fixture-source,additive_composition-exact-series,2026-02-13T00:00:00Z,2026-02-13T00:30:00Z,11.213482,0
fixture-source,additive_composition-exact-series,2026-02-14T00:00:00Z,2026-02-14T00:30:00Z,12.197618,0
fixture-source,additive_composition-exact-series,2026-02-15T00:00:00Z,2026-02-15T00:30:00Z,12.396596,0
fixture-source,additive_composition-exact-series,2026-02-16T00:00:00Z,2026-02-16T00:30:00Z,11.967971,0
fixture-source,additive_composition-exact-series,2026-02-17T00:00:00Z,2026-02-17T00:30:00Z,11.288539,0
fixture-source,additive_composition-exact-series,2026-02-18T00:00:00Z,2026-02-18T00:30:00Z,10.822707,0
fixture-source,additive_composition-exact-series,2026-02-19T00:00:00Z,2026-02-19T00:30:00Z,10.960268,0
fixture-source,additive_composition-exact-series,2026-02-20T00:00:00Z,2026-02-20T00:30:00Z,11.880233,0
fixture-source,additive_composition-exact-series,2026-02-21T00:00:00Z,2026-02-21T00:30:00Z,13.488293,0
fixture-source,additive_composition-exact-series,2026-02-22T00:00:00Z,2026-02-22T00:30:00Z,15.449772,0
fixture-source,additive_composition-exact-series,2026-02-23T00:00:00Z,2026-02-23T00:30:00Z,17.306532,0
fixture-source,additive_composition-exact-series,2026-02-24T00:00:00Z,2026-02-24T00:30:00Z,18.637017,0
