source_id,series_id,event_time,available_at,observed_value,revision_id
fixture-source,additive_composition-noisy-series,2026-02-01T00:00:00Z,2026-02-01T00:30:00Z,1.824625,0
fixture-source,additive_composition-noisy-series,2026-02-02T00:00:00Z,2026-02-02T00:30:00Z,3.519490,0
fixture-source,additive_composition-noisy-series,2026-02-03T00:00:00Z,2026-02-03T00:30:00Z,5.028006,0
fixture-source,additive_composition-noisy-series,2026-02-04T00:00:00Z,2026-02-04T00:30:00Z,5.529175,0
fixture-source,additive_composition-noisy-series,2026-02-05T00:00:00Z,2026-02-05T00:30:00Z,5.526562,0
fixture-source,additive_composition-noisy-series,2026-02-06T00:00:00Z,2026-02-06T00:30:00Z,4.783556,0
fixture-source,additive_composition-noisy-series,2026-02-07T00:00:00Z,2026-02-07T00:30:00Z,4.257869,0
fixture-source,additive_composition-noisy-series,2026-02-08T00:00:00Z,2026-02-08T00:30:00Z,3.948627,0
fixture-source,additive_composition-noisy-series,2026-02-09T00:00:00Z,2026-02-09T00:30:00Z,4.559482,0
fixture-source,additive_composition-noisy-series,2026-02-10T00:00:00Z,2026-02-10T00:30:00Z,5.712534,0
fixture-source,additive_composition-noisy-series,2026-02-11T00:00:00Z,2026-02-11T00:30:00Z,7.630134,0
fixture-source,additive_composition-noisy-series,2026-02-12T00:00:00Z,2026-02-12T00:30:00Z,9.530912,0
fixture-source,additive_composition-noisy-series,2026-02-13T00:00:00Z,2026-02-13T00:30:00Z,11.273482,0
fixture-source,additive_composition-noisy-series,2026-02-14T00:00:00Z,2026-02-14T00:30:00Z,12.157618,0
fixture-source,additive_composition-noisy-series,2026-02-15T00:00:00Z,2026-02-15T00:30:00Z,12.426596,0
fixture-source,additive_composition-noisy-series,2026-02-16T00:00:00Z,2026-02-16T00:30:00Z,11.947971,0
fixture-source,additive_composition-noisy-series,2026-02-17T00:00:00Z,2026-02-17T00:30:00Z,11.338539,0
fixture-source,additive_composition-noisy-series,2026-02-18T00:00:00Z,2026-02-18T00:30:00Z,10.782707,0
fixture-source,additive_composition-noisy-series,2026-02-19T00:00:00Z,2026-02-19T00:30:00Z,10.980268,0
fixture-source,additive_composition-noisy-series,2026-02-20T00:00:00Z,2026-02-20T00:30:00Z,11.860233,0
fixture-source,additive_composition-noisy-series,2026-02-21T00:00:00Z,2026-02-21T00:30:00Z,13.528293,0
fixture-source,additive_composition-noisy-series,2026-02-22T00:00:00Z,2026-02-22T00:30:00Z,15.419772,0
fixture-source,additive_composition-noisy-series,2026-02-23T00:00:00Z,2026-02-23T00:30:00Z,17.316532,0
fixture-source,additive_composition-noisy-series,2026-02-24T00:00:00Z,2026-02-24T00:30:00Z,18.627017,0
