source_id,series_id,event_time,available_at,observed_value,revision_id
fixture-source,affine_lag-noisy-series,2026-02-01T00:00:00Z,2026-02-01T00:30:00Z,5.050000,0
fixture-source,affine_lag-noisy-series,2026-02-02T00:00:00Z,2026-02-02T00:30:00Z,5.110000,0
fixture-source,affine_lag-noisy-series,2026-02-03T00:00:00Z,2026-02-03T00:30:00Z,5.327000,0
fixture-source,affine_lag-noisy-series,2026-02-04T00:00:00Z,2026-02-04T00:30:00Z,5.328260,0
fixture-source,affine_lag-noisy-series,2026-02-05T00:00:00Z,2026-02-05T00:30:00Z,5.499443,0
fixture-source,affine_lag-noisy-series,2026-02-06T00:00:00Z,2026-02-06T00:30:00Z,5.434965,0
fixture-source,affine_lag-noisy-series,2026-02-07T00:00:00Z,2026-02-07T00:30:00Z,5.568273,0
fixture-source,affine_lag-noisy-series,2026-02-08T00:00:00Z,2026-02-08T00:30:00Z,5.542053,0
fixture-source,affine_lag-noisy-series,2026-02-09T00:00:00Z,2026-02-09T00:30:00Z,5.638401,0
fixture-source,affine_lag-noisy-series,2026-02-10T00:00:00Z,2026-02-10T00:30:00Z,5.578953,0
fixture-source,affine_lag-noisy-series,2026-02-11T00:00:00Z,2026-02-11T00:30:00Z,5.684983,0
fixture-source,affine_lag-noisy-series,2026-02-12T00:00:00Z,2026-02-12T00:30:00Z,5.597487,0
fixture-source,affine_lag-noisy-series,2026-02-13T00:00:00Z,2026-02-13T00:30:00Z,5.697240,0
fixture-source,affine_lag-noisy-series,2026-02-14T00:00:00Z,2026-02-14T00:30:00Z,5.634847,0
fixture-source,affine_lag-noisy-series,2026-02-15T00:00:00Z,2026-02-15T00:30:00Z,5.700781,0
fixture-source,affine_lag-noisy-series,2026-02-16T00:00:00Z,2026-02-16T00:30:00Z,5.635409,0
fixture-source,affine_lag-noisy-series,2026-02-17T00:00:00Z,2026-02-17T00:30:00Z,5.719019,0
fixture-source,affine_lag-noisy-series,2026-02-18T00:00:00Z,2026-02-18T00:30:00Z,5.631835,0
fixture-source,affine_lag-noisy-series,2026-02-19T00:00:00Z,2026-02-19T00:30:00Z,5.704031,0
fixture-source,affine_lag-noisy-series,2026-02-20T00:00:00Z,2026-02-20T00:30:00Z,5.655744,0
fixture-source,affine_lag-noisy-series,2026-02-21T00:00:00Z,2026-02-21T00:30:00Z,5.717081,0
fixture-source,affine_lag-noisy-series,2026-02-22T00:00:00Z,2026-02-22T00:30:00Z,5.648123,0
fixture-source,affine_lag-noisy-series,2026-02-23T00:00:00Z,2026-02-23T00:30:00Z,5.698936,0
fixture-source,affine_lag-noisy-series,2026-02-24T00:00:00Z,2026-02-24T00:30:00Z,5.669570,0
