source_id,series_id,event_time,available_at,observed_value,revision_id
fixture-source,damped_harmonic-exact-series,2026-02-01T00:00:00Z,2026-02-01T00:30:00Z,6.313475,0
fixture-source,damped_harmonic-exact-series,2026-02-02T00:00:00Z,2026-02-02T00:30:00Z,4.207541,0
fixture-source,damped_harmonic-exact-series,2026-02-03T00:00:00Z,2026-02-03T00:30:00Z,1.533661,0
fixture-source,damped_harmonic-exact-series,2026-02-04T00:00:00Z,2026-02-04T00:30:00Z,-0.853309,0
fixture-source,damped_harmonic-exact-series,2026-02-05T00:00:00Z,2026-02-05T00:30:00Z,-2.359638,0
fixture-source,damped_harmonic-exact-series,2026-02-06T00:00:00Z,2026-02-06T00:30:00Z,-2.759916,0
fixture-source,damped_harmonic-exact-series,2026-02-07T00:00:00Z,2026-02-07T00:30:00Z,-2.180314,0
fixture-source,damped_harmonic-exact-series,2026-02-08T00:00:00Z,2026-02-08T00:30:00Z,-0.988945,0
fixture-source,damped_harmonic-exact-series,2026-02-09T00:00:00Z,2026-02-09T00:30:00Z,0.356763,0
fixture-source,damped_harmonic-exact-series,2026-02-10T00:00:00Z,2026-02-10T00:30:00Z,1.454637,0
fixture-source,damped_harmonic-exact-series,2026-02-11T00:00:00Z,2026-02-11T00:30:00Z,2.056317,0
fixture-source,damped_harmonic-exact-series,2026-02-12T00:00:00Z,2026-02-12T00:30:00Z,2.102585,0
fixture-source,damped_harmonic-exact-series,2026-02-13T00:00:00Z,2026-02-13T00:30:00Z,1.699256,0
fixture-source,damped_harmonic-exact-series,2026-02-14T00:00:00Z,2026-02-14T00:30:00Z,1.052928,0
fixture-source,damped_harmonic-exact-series,2026-02-15T00:00:00Z,2026-02-15T00:30:00Z,0.392793,0
fixture-source,damped_harmonic-exact-series,2026-02-16T00:00:00Z,2026-02-16T00:30:00Z,-0.097071,0
fixture-source,damped_harmonic-exact-series,2026-02-17T00:00:00Z,2026-02-17T00:30:00Z,-0.318585,0
fixture-source,damped_harmonic-exact-series,2026-02-18T00:00:00Z,2026-02-18T00:30:00Z,-0.268226,0
fixture-source,damped_harmonic-exact-series,2026-02-19T00:00:00Z,2026-02-19T00:30:00Z,-0.017823,0
fixture-source,damped_harmonic-exact-series,2026-02-20T00:00:00Z,2026-02-20T00:30:00Z,0.321234,0
fixture-source,damped_harmonic-exact-series,2026-02-21T00:00:00Z,2026-02-21T00:30:00Z,0.636997,0
fixture-source,damped_harmonic-exact-series,2026-02-22T00:00:00Z,2026-02-22T00:30:00Z,0.847794,0
fixture-source,damped_harmonic-exact-series,2026-02-23T00:00:00Z,2026-02-23T00:30:00Z,0.918184,0
fixture-source,damped_harmonic-exact-series,2026-02-24T00:00:00Z,2026-02-24T00:30:00Z,0.858811,0
