source_id,series_id,event_time,available_at,observed_value,revision_id
fixture-source,damped_harmonic-noisy-series,2026-02-01T00:00:00Z,2026-02-01T00:30:00Z,6.433475,0
fixture-source,damped_harmonic-noisy-series,2026-02-02T00:00:00Z,2026-02-02T00:30:00Z,4.107541,0
fixture-source,damped_harmonic-noisy-series,2026-02-03T00:00:00Z,2026-02-03T00:30:00Z,1.613661,0
fixture-source,damped_harmonic-noisy-series,2026-02-04T00:00:00Z,2026-02-04T00:30:00Z,-0.913309,0
fixture-source,damped_harmonic-noisy-series,2026-02-05T00:00:00Z,2026-02-05T00:30:00Z,-2.269638,0
fixture-source,damped_harmonic-noisy-series,2026-02-06T00:00:00Z,2026-02-06T00:30:00Z,-2.829916,0
fixture-source,damped_harmonic-noisy-series,2026-02-07T00:00:00Z,2026-02-07T00:30:00Z,-2.130314,0
fixture-source,damped_harmonic-noisy-series,2026-02-08T00:00:00Z,2026-02-08T00:30:00Z,-1.028945,0
fixture-source,damped_harmonic-noisy-series,2026-02-09T00:00:00Z,2026-02-09T00:30:00Z,0.416763,0
fixture-source,damped_harmonic-noisy-series,2026-02-10T00:00:00Z,2026-02-10T00:30:00Z,1.404637,0
fixture-source,damped_harmonic-noisy-series,2026-02-11T00:00:00Z,2026-02-11T00:30:00Z,2.096317,0
fixture-source,damped_harmonic-noisy-series,2026-02-12T00:00:00Z,2026-02-12T00:30:00Z,2.072585,0
fixture-source,damped_harmonic-noisy-series,2026-02-13T00:00:00Z,2026-02-13T00:30:00Z,1.749256,0
fixture-source,damped_harmonic-noisy-series,2026-02-14T00:00:00Z,2026-02-14T00:30:00Z,1.012928,0
fixture-source,damped_harmonic-noisy-series,2026-02-15T00:00:00Z,2026-02-15T00:30:00Z,0.422793,0
fixture-source,damped_harmonic-noisy-series,2026-02-16T00:00:00Z,2026-02-16T00:30:00Z,-0.117071,0
fixture-source,damped_harmonic-noisy-series,2026-02-17T00:00:00Z,2026-02-17T00:30:00Z,-0.278585,0
fixture-source,damped_harmonic-noisy-series,2026-02-18T00:00:00Z,2026-02-18T00:30:00Z,-0.298226,0
fixture-source,damped_harmonic-noisy-series,2026-02-19T00:00:00Z,2026-02-19T00:30:00Z,0.002177,0
fixture-source,damped_harmonic-noisy-series,2026-02-20T00:00:00Z,2026-02-20T00:30:00Z,0.301234,0
fixture-source,damped_harmonic-noisy-series,2026-02-21T00:00:00Z,2026-02-21T00:30:00Z,0.666997,0
fixture-source,damped_harmonic-noisy-series,2026-02-22T00:00:00Z,2026-02-22T00:30:00Z,0.827794,0
fixture-source,damped_harmonic-noisy-series,2026-02-23T00:00:00Z,2026-02-23T00:30:00Z,0.928184,0
fixture-source,damped_harmonic-noisy-series,2026-02-24T00:00:00Z,2026-02-24T00:30:00Z,0.848811,0
