source_id,series_id,event_time,available_at,observed_value,revision_id
fixture-source,linear-exact-series,2026-02-01T00:00:00Z,2026-02-01T00:30:00Z,2.000000,0
fixture-source,linear-exact-series,2026-02-02T00:00:00Z,2026-02-02T00:30:00Z,3.500000,0
fixture-source,linear-exact-series,2026-02-03T00:00:00Z,2026-02-03T00:30:00Z,5.000000,0
fixture-source,linear-exact-series,2026-02-04T00:00:00Z,2026-02-04T00:30:00Z,6.500000,0
fixture-source,linear-exact-series,2026-02-05T00:00:00Z,2026-02-05T00:30:00Z,8.000000,0
fixture-source,linear-exact-series,2026-02-06T00:00:00Z,2026-02-06T00:30:00Z,9.500000,0
fixture-source,linear-exact-series,2026-02-07T00:00:00Z,2026-02-07T00:30:00Z,11.000000,0
fixture-source,linear-exact-series,2026-02-08T00:00:00Z,2026-02-08T00:30:00Z,12.500000,0
fixture-source,linear-exact-series,2026-02-09T00:00:00Z,2026-02-09T00:30:00Z,14.000000,0
fixture-source,linear-exact-series,2026-02-10T00:00:00Z,2026-02-10T00:30:00Z,15.500000,0
fixture-source,linear-exact-series,2026-02-11T00:00:00Z,2026-02-11T00:30:00Z,17.000000,0
fixture-source,linear-exact-series,2026-02-12T00:00:00Z,2026-02-12T00:30:00Z,18.500000,0
fixture-source,linear-exact-series,2026-02-13T00:00:00Z,2026-02-13T00:30:00Z,20.000000,0
fixture-source,linear-exact-series,2026-02-14T00:00:00Z,2026-02-14T00:30:00Z,21.500000,0
fixture-source,linear-exact-series,2026-02-15T00:00:00Z,2026-02-15T00:30:00Z,23.000000,0
fixture-source,linear-exact-series,2026-02-16T00:00:00Z,2026-02-16T00:30:00Z,24.500000,0
fixture-source,linear-exact-series,2026-02-17T00:00:00Z,2026-02-17T00:30:00Z,26.000000,0
fixture-source,linear-exact-series,2026-02-18T00:00:00Z,2026-02-18T00:30:00Z,27.500000,0
fixture-source,linear-exact-series,2026-02-19T00:00:00Z,2026-02-19T00:30:00Z,29.000000,0
fixture-source,linear-exact-series,2026-02-20T00:00:00Z,2026-02-20T00:30:00Z,30.500000,0
fixture-source,linear-exact-series,2026-02-21T00:00:00Z,2026-02-21T00:30:00Z,32.000000,0
fixture-source,linear-exact-series,2026-02-22T00:00:00Z,2026-02-22T00:30:00Z,33.500000,0
fixture-source,linear-exact-series,2026-02-23T00:00:00Z,2026-02-23T00:30:00Z,35.000000,0
fixture-source,linear-exact-series,2026-02-24T00:00:00Z,2026-02-24T00:30:00Z,36.500000,0
